"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "HTML", "TypeScript JSX", "PostCSS", "Markdown", "C#", "XML", "comment", "blank", "total"
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\SeatSelectionPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 465, 0, 0, 0, 0, 49, 45, 559
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\ShowingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 7, 10, 114
"c:\Users\maxve\repos\filmvisarna-ab\src\partials\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 3, 58
"c:\Users\maxve\repos\filmvisarna-ab\src\partials\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 8, 68
"c:\Users\maxve\repos\filmvisarna-ab\src\partials\Main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\maxve\repos\filmvisarna-ab\src\parts\BookingCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 2, 8, 104
"c:\Users\maxve\repos\filmvisarna-ab\src\parts\MovieCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 6, 10, 131
"c:\Users\maxve\repos\filmvisarna-ab\src\parts\SeatType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\maxve\repos\filmvisarna-ab\src\parts\UnbookConfirmed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\maxve\repos\filmvisarna-ab\src\parts\YesNoPop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\maxve\repos\filmvisarna-ab\src\routes.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 32
"c:\Users\maxve\repos\filmvisarna-ab\src\utils\cancelBooking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\maxve\repos\filmvisarna-ab\src\utils\fetchJson.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\maxve\repos\filmvisarna-ab\src\utils\getSeatNumber.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 5, 25
"c:\Users\maxve\repos\filmvisarna-ab\src\utils\useFetchJson.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\maxve\repos\filmvisarna-ab\src\utils\useStateObject.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\maxve\repos\filmvisarna-ab\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\maxve\repos\filmvisarna-ab\tsconfig.app.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\maxve\repos\filmvisarna-ab\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\maxve\repos\filmvisarna-ab\tsconfig.node.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\maxve\repos\filmvisarna-ab\vite.config.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"Total", "-", 151, 7, 6549, 76, 14, 2634, 19, 7, 1532, 14, 333, 491, 11827
